obsID,date,par,clearance
4013010101,2021-04-12 17:42:42,,0
3013010101,2020-03-03 19:16:20,/homes/alevina/research2020/PSR_B0531+21/march2020.par,0
3013010102,2020-03-17 08:31:40,/homes/alevina/research2020/PSR_B0531+21/march2020.par,0
3013010103,2020-03-19 06:45:00,/homes/alevina/research2020/PSR_B0531+21/march2020.par,0
3013010104,2020-03-26 13:42:40,,0
3013010105,2020-03-31 00:39:00,,0
3013010106,2020-04-27 05:01:00,,0
3013010107,2020-09-03 00:44:20,/homes/alevina/research2020/PSR_B0531+21/sept2020.par,0
3013010108,2020-09-22 19:53:20,/homes/alevina/research2020/PSR_B0531+21/sept2020.par,0
3013010109,2020-11-12 17:08:20,/homes/alevina/research2020/PSR_B0531+21/nov2020.par,0
3013010110,2020-12-06 09:37:55,/homes/alevina/research2020/PSR_B0531+21/dec2020.par,0
3013010111,2020-12-23 21:53:57,/homes/alevina/research2020/PSR_B0531+21/dec2020.par,0
3013010112,2021-01-05 20:00:57,/homes/alevina/research2020/PSR_B0531+21/jan2021.par,0
3013010113,2021-02-19 15:04:00,,0
2013010101,2019-03-11 07:06:12,/students/pipeline/parfiles/crab/feb2019.par,0
2013010102,2019-04-08 19:55:32,/students/pipeline/parfiles/crab/feb2019.par,0
2013010103,2019-04-26 23:42:52,/students/pipeline/parfiles/crab/feb2019.par,0
2013010104,2019-08-26 18:49:39,/students/pipeline/parfiles/crab/feb2019.par,0
2013010105,2019-08-29 06:02:59,,0
2013010106,2019-08-30 00:38:00,/students/pipeline/parfiles/crab/aug2019.par,0
2013010107,2019-09-01 15:56:42,/students/pipeline/parfiles/crab/aug2019.par,0
2013010108,2019-10-19 16:36:08,/students/pipeline/parfiles/crab/aug2019.par,0
2013010109,2019-11-06 17:46:09,/students/pipeline/parfiles/crab/aug2019.par,0
2013010110,2019-11-06 23:42:20,/students/pipeline/parfiles/crab/aug2019.par,0
2013010111,2020-01-10 19:09:54,/homes/alevina/research2020/PSR_B0531+21/dec2019.par,0
2013010112,2020-02-03 15:52:38,/homes/alevina/research2020/PSR_B0531+21/feb2020.par,0
2013010113,2020-02-04 01:10:56,/homes/alevina/research2020/PSR_B0531+21/feb2020.par,0
2014010101,2019-08-15 16:34:04,/students/pipeline/parfiles/crab/feb2019.par,0
2205010101,2019-11-26 14:16:49,/students/pipeline/parfiles/crab/aug2019.par,0
1011010101,2017-08-15 19:39:17,/students/pipeline/parfiles/crab/aug17.par,0
1011010201,2017-09-28 13:48:06,/students/pipeline/parfiles/crab/aug17.par,0
1011010301,2017-11-20 15:17:57,/students/pipeline/parfiles/crab/nov17.par,0
1013010101,2017-08-05 18:58:51,,0
1013010102,2017-08-06 02:42:10,,0
1013010103,2017-08-07 00:15:00,,0
1013010104,2017-08-09 17:13:00,/students/pipeline/parfiles/crab/aug17.par,0
1013010105,2017-08-10 00:43:16,/students/pipeline/parfiles/crab/aug17.par,0
1013010106,2017-08-10 23:56:24,/students/pipeline/parfiles/crab/aug17.par,0
1013010107,2017-08-14 20:37:12,/students/pipeline/parfiles/crab/aug17.par,0
1013010108,2017-09-02 18:29:17,/students/pipeline/parfiles/crab/aug17.par,0
1013010109,2017-11-09 10:06:34,,0
1013010110,2017-11-10 17:09:13,/students/pipeline/parfiles/crab/nov17.par,0
1013010111,2017-11-11 10:18:20,/students/pipeline/parfiles/crab/nov17.par,0
1013010112,2017-11-12 14:02:39,/students/pipeline/parfiles/crab/nov17.par,0
1013010113,2017-11-13 13:17:38,/students/pipeline/parfiles/crab/nov17.par,0
1013010114,2017-11-14 00:04:49,/students/pipeline/parfiles/crab/nov17.par,0
1013010115,2017-11-15 00:28:24,/students/pipeline/parfiles/crab/nov17.par,0
1013010116,2017-11-16 01:11:05,/students/pipeline/parfiles/crab/nov17.par,0
1013010117,2017-11-17 00:20:39,/students/pipeline/parfiles/crab/nov17.par,0
1013010118,2017-11-17 14:14:19,/students/pipeline/parfiles/crab/nov17.par,0
1013010119,2017-11-17 23:55:42,/students/pipeline/parfiles/crab/nov17.par,0
1013010120,2017-11-19 00:13:26,/students/pipeline/parfiles/crab/nov17.par,0
1013010121,2017-11-20 01:04:00,/students/pipeline/parfiles/crab/nov17.par,0
1013010122,2017-12-30 07:54:21,/students/pipeline/parfiles/crab/dec2017.par,0
1013010123,2018-01-03 09:10:14,/students/pipeline/parfiles/crab/jan2018.par,0
1013010124,2018-02-21 00:54:20,/students/pipeline/parfiles/crab/jan2018.par,0
1013010125,2018-03-13 02:56:24,,0
1013010126,2018-03-14 00:23:56,/students/pipeline/parfiles/crab/march2018_1.par,0
1013010127,2018-03-27 21:56:32,/students/pipeline/parfiles/crab/march2018_1.par,0
1013010128,2018-03-28 04:06:17,/students/pipeline/parfiles/crab/march2018_1.par,0
1013010129,2018-03-29 03:15:59,/students/pipeline/parfiles/crab/march2018_1.par,0
1013010130,2018-03-30 03:58:38,/students/pipeline/parfiles/crab/march2018_1.par,0
1013010131,2018-04-07 09:40:04,/students/pipeline/parfiles/crab/april2018.par,0
1013010132,2018-04-09 07:27:44,/students/pipeline/parfiles/crab/april2018.par,0
1013010133,2018-09-05 14:25:41,/students/pipeline/parfiles/crab/april2018.par,0
1013010134,2018-09-06 00:57:23,/students/pipeline/parfiles/crab/april2018.par,0
1013010135,2018-09-07 00:30:47,/students/pipeline/parfiles/crab/april2018.par,0
1013010136,2018-09-08 01:27:31,/students/pipeline/parfiles/crab/april2018.par,0
1013010137,2018-09-09 01:58:19,/students/pipeline/parfiles/crab/april2018.par,0
1013010138,2018-09-10 02:41:33,/students/pipeline/parfiles/crab/april2018.par,0
1013010139,2018-09-11 18:51:21,/students/pipeline/parfiles/crab/april2018.par,0
1013010140,2018-09-12 01:01:30,/students/pipeline/parfiles/crab/april2018.par,0
1013010141,2018-09-27 20:34:36,/students/pipeline/parfiles/crab/april2018.par,0
1013010142,2018-09-28 08:54:52,/students/pipeline/parfiles/crab/april2018.par,0
1013010143,2018-11-08 12:23:35,,0
1013010144,2018-11-09 11:32:24,/students/pipeline/parfiles/crab/nov2018_1.par,0
1013010145,2018-11-21 10:53:20,/students/pipeline/parfiles/crab/nov2018_1.par,0
1013010146,2018-11-29 10:18:35,/students/pipeline/parfiles/crab/nov2018_1.par,0
1013010147,2018-12-26 00:31:03,,0
1013010148,2018-12-27 08:56:43,,0
1013010149,2018-12-28 08:37:20,,0
1013010150,2018-12-29 08:47:40,/students/pipeline/parfiles/crab/dec2018_3.par,0
1013010151,2019-01-04 09:51:10,/students/pipeline/parfiles/crab/dec2018_3.par,0
1013010152,2019-02-18 23:52:45,,0
1013010153,2019-02-20 16:01:31,/students/pipeline/parfiles/crab/feb2019.par,0
1013010154,2019-02-22 10:10:10,/students/pipeline/parfiles/crab/feb2019.par,0
1014020101,2019-02-20 17:34:11,/students/pipeline/parfiles/crab/feb2019.par,0
